persona_id,w1_before,w1_after,delta,pct_change,model
CHN_Female_30-49_Lower,0.4778657286666667,0.507991791111111,0.030126062444444324,6.304294415190974,qwen
CHN_Female_30-49_Medium,0.47724230222222225,0.47502007999999996,-0.002222222222222292,-0.46563814898108935,qwen
CHN_Female_50-64_Higher,0.4393939396666667,0.43828282855555556,-0.0011111111111111183,-0.25287356306143643,qwen
CHN_Female_50-64_Lower,0.5000000001111111,0.5783950618888889,0.07839506177777777,15.67901235207133,qwen
CHN_Female_50-64_Medium,0.5195195194444444,0.6006006007777778,0.08108108133333336,15.606936466995228,qwen
CHN_Female_65+_Lower,0.46515432088888886,0.5595987653333334,0.09444444444444455,20.30389490179635,qwen
CHN_Female_65+_Medium,0.4737037035555556,0.5337037035555556,0.06000000000000005,12.666145430075426,qwen
CHN_Male_18-29_Higher,0.21948998166666664,0.3942987252222222,0.17480874355555556,79.64315374586562,qwen
CHN_Male_18-29_Lower,0.3280423277777778,0.5012698411111111,0.17322751333333325,52.8064516877471,qwen
CHN_Male_18-29_Medium,0.2486111111111111,0.41083333333333333,0.16222222222222224,65.2513966480447,qwen
CHN_Male_30-49_Higher,0.3595959597777778,0.4660269362222223,0.10643097644444449,29.597378265933923,qwen
CHN_Male_30-49_Lower,0.5118250777777777,0.5166711286666666,0.004846050888888898,0.9468177897670222,qwen
CHN_Male_50-64_Higher,0.4925925925555556,0.49592592588888895,0.003333333333333355,0.6766917293741916,qwen
CHN_Male_50-64_Medium,0.5214521455555556,0.6137843786666666,0.09233223311111094,17.706751021752932,qwen
SVK_Female_18-29_Higher,0.3629292926666667,0.16838383822222222,-0.19454545444444446,-53.604230459051216,qwen
SVK_Female_18-29_Medium,0.27777777733333336,0.2662962962222222,-0.011481481111111191,-4.1333332066133615,qwen
SVK_Female_30-49_Higher,0.35185185155555554,0.35185185155555554,0,0,qwen
SVK_Female_30-49_Lower,0.26829268300000003,0.31436314388888886,0.04607046088888883,17.17171723572082,qwen
SVK_Female_30-49_Medium,0.28250591022222227,0.23695035466666667,-0.0455555555555556,-16.125523009313717,qwen
SVK_Female_50-64_Higher,0.20777777777777776,0.2544444444444445,0.04666666666666672,22.459893048128368,qwen
SVK_Female_50-64_Lower,0.2604735878888889,0.284153005,0.0236794171111111,9.090909102542907,qwen
SVK_Female_50-64_Medium,0.23989898988888891,0.23878787877777777,-0.001111111111111146,-0.46315789475635794,qwen
SVK_Female_65+_Higher,0.2802777777777778,0.29916666666666664,0.018888888888888844,6.739345887016832,qwen
SVK_Female_65+_Lower,0.18040621222222225,0.18040621222222222,-2.7755575615628914e-17,-1.538504426967289e-14,qwen
SVK_Female_65+_Medium,0.21354166666666663,0.21354166666666666,2.7755575615628914e-17,1.2997732971221347e-14,qwen
SVK_Male_18-29_Higher,0.36666666666666664,0.2611111111111111,-0.10555555555555551,-28.78787878787878,qwen
SVK_Male_18-29_Lower,0.28654970755555553,0.29970760244444444,0.01315789488888891,4.591836788504797,qwen
SVK_Male_18-29_Medium,0.21888888933333336,0.327948718,0.10905982866666661,49.82428710695573,qwen
SVK_Male_30-49_Higher,0.34417344133333333,0.3224932248888889,-0.021680216444444456,-6.2992125018290075,qwen
SVK_Male_30-49_Lower,0.33333333299999995,0.39455284566666665,0.0612195126666667,18.365853818365867,qwen
SVK_Male_30-49_Medium,0.3386880856666667,0.3386880856666667,0,0,qwen
SVK_Male_50-64_Higher,0.3080808084444444,0.3020202022222222,-0.006060606222222209,-1.9672131648911542,qwen
