persona_id,model,w1_norm,w1_boot_mean,w1_boot_sd,w1_ci_lower,w1_ci_upper,country,sex,age_group,education
SVK_Female_65+_Lower,qwen_lora,0.18040621222222222,0.1806583034647551,0.01857047780881864,0.14692353643966546,0.22102747909199522,SVK,Female,65+,Lower
SVK_Female_65+_Medium,bielik_lora,0.21437499999999998,0.21535305555555553,0.015696235240844254,0.18312499999999998,0.2473611111111111,SVK,Female,65+,Medium
SVK_Female_65+_Medium,qwen_lora,0.21354166666666666,0.21291319444444445,0.029663677134321137,0.1597222222222222,0.2760416666666667,SVK,Female,65+,Medium
SVK_Male_18-29_Higher,bielik_lora,0.29444444444444445,0.3038666666666667,0.04857424965281782,0.21666666666666665,0.40555555555555556,SVK,Male,18-29,Higher
SVK_Male_18-29_Higher,qwen_lora,0.2611111111111111,0.26313333333333333,0.07958548488864357,0.11666666666666667,0.4277777777777778,SVK,Male,18-29,Higher
SVK_Male_18-29_Lower,bielik_lora,0.17742690022222224,0.18829976608187135,0.0401548804038523,0.11854093567251461,0.2709941520467837,SVK,Male,18-29,Lower
SVK_Male_18-29_Lower,qwen_lora,0.29970760244444444,0.2985964912280702,0.05621592997011725,0.18859649122807015,0.4051169590643274,SVK,Male,18-29,Lower
SVK_Male_18-29_Medium,bielik_lora,0.1865811968888889,0.18837863247863249,0.03523424731931614,0.12247863247863247,0.2592307692307692,SVK,Male,18-29,Medium
SVK_Male_18-29_Medium,qwen_lora,0.327948718,0.32755555555555554,0.04867956414288814,0.23393162393162395,0.4262393162393162,SVK,Male,18-29,Medium
SVK_Male_30-49_Higher,bielik_lora,0.26065040600000006,0.2636028726287263,0.03284183969509733,0.2010840108401084,0.3338211382113821,SVK,Male,30-49,Higher
SVK_Male_30-49_Higher,qwen_lora,0.3224932248888889,0.3234823848238482,0.03277654855780584,0.2574525745257452,0.3875338753387534,SVK,Male,30-49,Higher
SVK_Male_30-49_Lower,bielik_lora,0.20365853588888888,0.20375159891598918,0.028752101505917168,0.1517723577235772,0.25785907859078594,SVK,Male,30-49,Lower
