persona_id,model,base_model,country,sex,age_group,education,base_w1,post_w1_norm,delta_w1,pct_change,base_ci_lower,base_ci_upper,post_w1_ci_lower,post_w1_ci_upper
CHN_Female_50-64_Lower,qwen_lora,qwen,CHN,Female,50-64,Lower,0.5000000001111111,0.5783950618888889,0.07839506177777777,15.67901235207133,0.47714506172839505,0.5216049382716049,0.5503009259259259,0.6067978395061728
CHN_Female_50-64_Medium,bielik_lora,bielik,CHN,Female,50-64,Medium,0.19921921833333336,0.30615615566666665,0.10693693733333329,53.67802274698544,0.1466666666666667,0.25627627627627625,0.27612612612612614,0.3331831831831832
CHN_Female_50-64_Medium,qwen_lora,qwen,CHN,Female,50-64,Medium,0.5195195194444444,0.6006006007777778,0.08108108133333336,15.606936466995228,0.4684684684684685,0.5660660660660661,0.540503003003003,0.6591591591591591
CHN_Female_65+_Lower,bielik_lora,bielik,CHN,Female,65+,Lower,0.21935185200000001,0.3557098764444444,0.1363580244444444,62.16406344471821,0.16377700617283952,0.27490740740740743,0.3194444444444444,0.391994598765432
CHN_Female_65+_Lower,qwen_lora,qwen,CHN,Female,65+,Lower,0.46515432088888886,0.5595987653333334,0.09444444444444455,20.30389490179635,0.41806712962962966,0.5114699074074073,0.5086342592592592,0.6143827160493827
CHN_Female_65+_Medium,bielik_lora,bielik,CHN,Female,65+,Medium,0.2548148151111111,0.29851851844444444,0.043703703333333344,17.15116262540563,0.09740740740740744,0.4911111111111111,0.18253703703703703,0.41894444444444434
CHN_Female_65+_Medium,qwen_lora,qwen,CHN,Female,65+,Medium,0.4737037035555556,0.5337037035555556,0.06000000000000005,12.666145430075426,0.33169444444444446,0.6125925925925926,0.3948148148148148,0.6725925925925925
CHN_Male_18-29_Higher,bielik_lora,bielik,CHN,Male,18-29,Higher,0.16154826944444442,0.18151183966666665,0.019963570222222227,12.357650311498752,0.1314936247723133,0.1952459016393443,0.16056466302367942,0.19972677595628413
CHN_Male_18-29_Higher,qwen_lora,qwen,CHN,Male,18-29,Higher,0.21948998166666664,0.3942987252222222,0.17480874355555556,79.64315374586562,0.195787795992714,0.24408014571949,0.36242258652094717,0.42617486338797816
CHN_Male_18-29_Lower,bielik_lora,bielik,CHN,Male,18-29,Lower,0.148253968,0.18095238066666666,0.03269841266666665,22.055674534570734,0.09269841269841272,0.21703703703703703,0.1412698412698413,0.22328042328042327
CHN_Male_18-29_Lower,qwen_lora,qwen,CHN,Male,18-29,Lower,0.3280423277777778,0.5012698411111111,0.17322751333333325,52.8064516877471,0.27777777777777785,0.3756613756613757,0.43777777777777777,0.5568703703703705
CHN_Male_18-29_Medium,bielik_lora,bielik,CHN,Male,18-29,Medium,0.15083333333333332,0.15527777777777776,0.004444444444444445,2.9465930018416215,0.11611111111111112,0.18694444444444444,0.12611111111111112,0.19277777777777777
CHN_Male_18-29_Medium,qwen_lora,qwen,CHN,Male,18-29,Medium,0.2486111111111111,0.41083333333333333,0.16222222222222224,65.2513966480447,0.21385416666666665,0.2847222222222222,0.36916666666666664,0.45249999999999996
CHN_Male_30-49_Higher,bielik_lora,bielik,CHN,Male,30-49,Higher,0.16734006755555553,0.21181818200000002,0.044478114444444494,26.57947680681922,0.13771043771043776,0.20033670033670037,0.19429292929292927,0.2306734006734007
CHN_Male_30-49_Higher,qwen_lora,qwen,CHN,Male,30-49,Higher,0.3595959597777778,0.4660269362222223,0.10643097644444449,29.597378265933923,0.3373569023569023,0.38047138047138046,0.4363973063973064,0.49296296296296294
CHN_Male_30-49_Lower,bielik_lora,bielik,CHN,Male,30-49,Lower,0.15031236088888894,0.22757697444444444,0.0772646135555555,51.40270108103058,0.12889335118250786,0.17530120481927708,0.2074966532797858,0.24587237840249887
