persona_id,model,n_valid,w1_raw,w1_norm,country,sex,age_group,education
SVK_Female_18-29_Medium,qwen,100,2.499999996,0.27777777733333336,SVK,Female,18-29,Medium
SVK_Female_30-49_Higher,bielik,100,3.006666664,0.33407407377777776,SVK,Female,30-49,Higher
SVK_Female_30-49_Higher,gemma3,100,3.166666664,0.35185185155555554,SVK,Female,30-49,Higher
SVK_Female_30-49_Higher,qwen,100,3.166666664,0.35185185155555554,SVK,Female,30-49,Higher
SVK_Female_30-49_Lower,bielik,100,2.4992682950000003,0.27769647722222224,SVK,Female,30-49,Lower
SVK_Female_30-49_Lower,gemma3,100,3.5853658569999998,0.3983739841111111,SVK,Female,30-49,Lower
SVK_Female_30-49_Lower,qwen,100,2.414634147,0.26829268300000003,SVK,Female,30-49,Lower
SVK_Female_30-49_Medium,bielik,100,2.1625531920000003,0.24028368800000002,SVK,Female,30-49,Medium
SVK_Female_30-49_Medium,gemma3,100,2.712765958,0.30141843977777777,SVK,Female,30-49,Medium
SVK_Female_30-49_Medium,qwen,100,2.542553192,0.28250591022222227,SVK,Female,30-49,Medium
SVK_Female_50-64_Higher,bielik,100,1.9100000000000001,0.21222222222222223,SVK,Female,50-64,Higher
SVK_Female_50-64_Higher,gemma3,100,2.3000000000000003,0.2555555555555556,SVK,Female,50-64,Higher
SVK_Female_50-64_Higher,qwen,100,1.87,0.20777777777777778,SVK,Female,50-64,Higher
SVK_Female_50-64_Lower,bielik,100,1.9573770449999999,0.2174863383333333,SVK,Female,50-64,Lower
SVK_Female_50-64_Lower,gemma3,100,2.557377045,0.284153005,SVK,Female,50-64,Lower
SVK_Female_50-64_Lower,qwen,100,2.344262291,0.2604735878888889,SVK,Female,50-64,Lower
SVK_Female_50-64_Medium,bielik,100,1.9090909090000001,0.21212121211111112,SVK,Female,50-64,Medium
SVK_Female_50-64_Medium,gemma3,100,2.500000001,0.2777777778888889,SVK,Female,50-64,Medium
SVK_Female_50-64_Medium,qwen,100,2.159090909,0.23989898988888891,SVK,Female,50-64,Medium
SVK_Female_65+_Higher,bielik,100,2.4625,0.2736111111111111,SVK,Female,65+,Higher
SVK_Female_65+_Higher,gemma3,100,2.7425,0.30472222222222223,SVK,Female,65+,Higher
SVK_Female_65+_Higher,qwen,100,2.5225,0.2802777777777778,SVK,Female,65+,Higher
SVK_Female_65+_Lower,bielik,100,1.559892468,0.17332138533333333,SVK,Female,65+,Lower
SVK_Female_65+_Lower,gemma3,100,1.569892468,0.17443249644444445,SVK,Female,65+,Lower
SVK_Female_65+_Lower,qwen,100,1.62365591,0.18040621222222222,SVK,Female,65+,Lower
SVK_Female_65+_Medium,bielik,100,1.693125,0.188125,SVK,Female,65+,Medium
SVK_Female_65+_Medium,gemma3,100,1.953125,0.2170138888888889,SVK,Female,65+,Medium
SVK_Female_65+_Medium,qwen,100,1.921875,0.21354166666666666,SVK,Female,65+,Medium
SVK_Male_18-29_Higher,bielik,100,2.74,0.30444444444444446,SVK,Male,18-29,Higher
SVK_Male_18-29_Higher,gemma3,100,2.61,0.29,SVK,Male,18-29,Higher
SVK_Male_18-29_Higher,qwen,100,3.3,0.36666666666666664,SVK,Male,18-29,Higher
SVK_Male_18-29_Lower,bielik,100,2.223684208,0.2470760231111111,SVK,Male,18-29,Lower
SVK_Male_18-29_Lower,gemma3,100,2.076315788,0.23070175422222222,SVK,Male,18-29,Lower
SVK_Male_18-29_Lower,qwen,100,2.5789473679999997,0.28654970755555553,SVK,Male,18-29,Lower
SVK_Male_18-29_Medium,bielik,100,2.109230772,0.23435897466666666,SVK,Male,18-29,Medium
SVK_Male_18-29_Medium,gemma3,100,2.460000002,0.27333333355555556,SVK,Male,18-29,Medium
SVK_Male_18-29_Medium,qwen,100,1.970000004,0.21888888933333334,SVK,Male,18-29,Medium
SVK_Male_30-49_Higher,bielik,100,2.167560972,0.240840108,SVK,Male,30-49,Higher
SVK_Male_30-49_Higher,gemma3,100,2.902439024,0.3224932248888889,SVK,Male,30-49,Higher
SVK_Male_30-49_Higher,qwen,100,3.097560972,0.34417344133333333,SVK,Male,30-49,Higher
SVK_Male_30-49_Lower,bielik,100,2.7809756109999997,0.3089972901111111,SVK,Male,30-49,Lower
SVK_Male_30-49_Lower,gemma3,100,4.268292689,0.4742547432222222,SVK,Male,30-49,Lower
SVK_Male_30-49_Lower,qwen,100,2.9999999969999998,0.33333333299999995,SVK,Male,30-49,Lower
SVK_Male_30-49_Medium,bielik,100,2.348192771,0.26091030788888886,SVK,Male,30-49,Medium
SVK_Male_30-49_Medium,gemma3,100,3.518072289,0.390896921,SVK,Male,30-49,Medium
SVK_Male_30-49_Medium,qwen,100,3.048192771,0.3386880856666667,SVK,Male,30-49,Medium
SVK_Male_50-64_Higher,bielik,100,2.602727276,0.28919191955555557,SVK,Male,50-64,Higher
SVK_Male_50-64_Higher,gemma3,100,3.31818182,0.3686868688888889,SVK,Male,50-64,Higher
SVK_Male_50-64_Higher,qwen,100,2.772727276,0.3080808084444444,SVK,Male,50-64,Higher
SVK_Male_50-64_Lower,bielik,100,2.224375,0.2471527777777778,SVK,Male,50-64,Lower
SVK_Male_50-64_Lower,gemma3,100,2.921875,0.3246527777777778,SVK,Male,50-64,Lower
SVK_Male_50-64_Lower,qwen,100,2.484375,0.2760416666666667,SVK,Male,50-64,Lower
SVK_Male_50-64_Medium,bielik,100,1.8719354849999998,0.20799283166666666,SVK,Male,50-64,Medium
SVK_Male_50-64_Medium,gemma3,100,2.957419359,0.328602151,SVK,Male,50-64,Medium
SVK_Male_50-64_Medium,qwen,100,2.500000003,0.2777777781111111,SVK,Male,50-64,Medium
SVK_Male_65+_Higher,bielik,100,2.806470586,0.3118300651111111,SVK,Male,65+,Higher
SVK_Male_65+_Higher,gemma3,100,3.352941172,0.3725490191111111,SVK,Male,65+,Higher
SVK_Male_65+_Higher,qwen,100,2.906470586,0.32294117622222224,SVK,Male,65+,Higher
SVK_Male_65+_Lower,bielik,100,3.158965519,0.3509961687777778,SVK,Male,65+,Lower
SVK_Male_65+_Lower,gemma3,100,3.5689655190000003,0.39655172433333336,SVK,Male,65+,Lower
SVK_Male_65+_Lower,qwen,100,3.0172413810000003,0.33524904233333336,SVK,Male,65+,Lower
SVK_Male_65+_Medium,bielik,100,1.829302328,0.20325581422222222,SVK,Male,65+,Medium
SVK_Male_65+_Medium,gemma3,100,2.109302328,0.23436692533333334,SVK,Male,65+,Medium
SVK_Male_65+_Medium,qwen,100,2.209302328,0.24547803644444446,SVK,Male,65+,Medium
USA_Female_18-29_Higher,bielik,100,2.608704661,0.2898560734444444,USA,Female,18-29,Higher
USA_Female_18-29_Higher,gemma3,100,3.1813471470000003,0.35348301633333334,USA,Female,18-29,Higher
USA_Female_18-29_Higher,qwen,100,3.302227979,0.3669142198888889,USA,Female,18-29,Higher
USA_Female_18-29_Medium,bielik,100,2.945393254,0.3272659171111111,USA,Female,18-29,Medium
USA_Female_18-29_Medium,gemma3,100,2.9606741559999996,0.32896379511111107,USA,Female,18-29,Medium
USA_Female_18-29_Medium,qwen,100,3.6528089799999997,0.4058676644444444,USA,Female,18-29,Medium
USA_Female_30-49_Higher,bielik,100,2.700650407,0.30007226744444443,USA,Female,30-49,Higher
USA_Female_30-49_Higher,gemma3,100,2.880650407,0.32007226744444445,USA,Female,30-49,Higher
USA_Female_30-49_Higher,qwen,100,3.552845529,0.3947606143333333,USA,Female,30-49,Higher
USA_Female_30-49_Lower,bielik,100,3.164615383,0.3516239314444445,USA,Female,30-49,Lower
USA_Female_30-49_Lower,gemma3,100,3.384615387,0.37606837633333334,USA,Female,30-49,Lower
USA_Female_30-49_Lower,qwen,100,3.384615383,0.37606837588888886,USA,Female,30-49,Lower
USA_Female_30-49_Medium,bielik,100,2.190788382,0.24342093133333334,USA,Female,30-49,Medium
USA_Female_30-49_Medium,gemma3,100,2.435684648,0.2706316275555556,USA,Female,30-49,Medium
USA_Female_30-49_Medium,qwen,100,3.4107883820000002,0.3789764868888889,USA,Female,30-49,Medium
USA_Female_50-64_Higher,bielik,100,2.74804878,0.3053387533333333,USA,Female,50-64,Higher
USA_Female_50-64_Higher,gemma3,100,2.314634148,0.257181572,USA,Female,50-64,Higher
USA_Female_50-64_Higher,qwen,100,2.8780487800000003,0.3197831977777778,USA,Female,50-64,Higher
USA_Female_50-64_Medium,bielik,100,2.482230217,0.27580335744444445,USA,Female,50-64,Medium
USA_Female_50-64_Medium,gemma3,100,1.863309359,0.20703437322222223,USA,Female,50-64,Medium
USA_Female_50-64_Medium,qwen,100,2.712230217,0.301358913,USA,Female,50-64,Medium
USA_Female_65+_Higher,bielik,100,1.694285713,0.18825396811111111,USA,Female,65+,Higher
USA_Female_65+_Higher,gemma3,100,1.5714285769999998,0.1746031752222222,USA,Female,65+,Higher
USA_Female_65+_Higher,qwen,100,2.7142857129999998,0.3015873014444444,USA,Female,65+,Higher
USA_Female_65+_Medium,bielik,100,1.3640540540000001,0.15156156155555556,USA,Female,65+,Medium
USA_Female_65+_Medium,gemma3,100,0.9459459499999999,0.10510510555555555,USA,Female,65+,Medium
USA_Female_65+_Medium,qwen,100,2.729729728,0.30330330311111114,USA,Female,65+,Medium
USA_Male_18-29_Higher,bielik,100,2.89131148,0.32125683111111114,USA,Male,18-29,Higher
USA_Male_18-29_Higher,gemma3,100,3.143278692,0.349253188,USA,Male,18-29,Higher
USA_Male_18-29_Higher,qwen,100,3.002459022,0.333606558,USA,Male,18-29,Higher
USA_Male_18-29_Medium,bielik,100,3.192307696,0.3547008551111111,USA,Male,18-29,Medium
USA_Male_18-29_Medium,gemma3,100,3.173076926,0.35256410288888884,USA,Male,18-29,Medium
USA_Male_18-29_Medium,qwen,100,3.692307696,0.4102564106666666,USA,Male,18-29,Medium
USA_Male_30-49_Higher,bielik,100,2.409526626,0.2677251806666667,USA,Male,30-49,Higher
USA_Male_30-49_Higher,gemma3,100,3.319526626,0.36883629177777777,USA,Male,30-49,Higher
USA_Male_30-49_Higher,qwen,100,3.180118342,0.35334648244444444,USA,Male,30-49,Higher
USA_Male_30-49_Medium,bielik,100,3.2831578930000003,0.3647953214444445,USA,Male,30-49,Medium
USA_Male_30-49_Medium,gemma3,100,3.105263155,0.3450292394444444,USA,Male,30-49,Medium
USA_Male_30-49_Medium,qwen,100,3.193157893,0.3547953214444444,USA,Male,30-49,Medium
USA_Male_50-64_Higher,bielik,100,3.062795699,0.3403106332222222,USA,Male,50-64,Higher
USA_Male_50-64_Higher,gemma3,100,3.161290323,0.3512544803333333,USA,Male,50-64,Higher
USA_Male_50-64_Higher,qwen,100,3.3010752689999996,0.36678614099999995,USA,Male,50-64,Higher
USA_Male_50-64_Medium,bielik,100,2.4925,0.27694444444444444,USA,Male,50-64,Medium
USA_Male_50-64_Medium,gemma3,100,2.3474999999999997,0.2608333333333333,USA,Male,50-64,Medium
USA_Male_50-64_Medium,qwen,100,2.7125,0.3013888888888889,USA,Male,50-64,Medium
USA_Male_65+_Higher,bielik,100,2.610979022,0.2901087802222222,USA,Male,65+,Higher
USA_Male_65+_Higher,gemma3,100,3.02797203,0.33644133666666665,USA,Male,65+,Higher
USA_Male_65+_Higher,qwen,100,3.1258741260000003,0.34731934733333336,USA,Male,65+,Higher
USA_Male_65+_Medium,bielik,100,2.2177272730000004,0.24641414144444448,USA,Male,65+,Medium
USA_Male_65+_Medium,gemma3,100,2.0686363610000003,0.2298484845555556,USA,Male,65+,Medium
USA_Male_65+_Medium,qwen,100,2.661363639,0.29570707100000004,USA,Male,65+,Medium
