persona_id,model,w1_norm,w1_boot_mean,w1_boot_sd,w1_ci_lower,w1_ci_upper,country,sex,age_group,education
CHN_Male_18-29_Medium,qwen,0.2486111111111111,0.24967916666666667,0.018111435254357267,0.21385416666666665,0.2847222222222222,CHN,Male,18-29,Medium
CHN_Male_30-49_Higher,bielik,0.16734006755555553,0.16716969696969697,0.01563476341656766,0.13771043771043776,0.20033670033670037,CHN,Male,30-49,Higher
CHN_Male_30-49_Higher,gemma3,0.1602693604444444,0.1601750841750842,0.020687677455432582,0.1191919191919192,0.20202020202020204,CHN,Male,30-49,Higher
CHN_Male_30-49_Higher,qwen,0.3595959597777778,0.35945589225589225,0.01101322477973958,0.3373569023569023,0.38047138047138046,CHN,Male,30-49,Higher
CHN_Male_30-49_Lower,bielik,0.15031236088888894,0.15091700133868807,0.01191373728844853,0.12889335118250786,0.17530120481927708,CHN,Male,30-49,Lower
CHN_Male_30-49_Lower,gemma3,0.17364569422222229,0.17298929049531458,0.012119517308225415,0.1504417670682731,0.19686077643908972,CHN,Male,30-49,Lower
CHN_Male_30-49_Lower,qwen,0.5118250777777777,0.5118817492190986,0.013611072797128069,0.4854975457385096,0.536813922356091,CHN,Male,30-49,Lower
CHN_Male_30-49_Medium,bielik,0.15267973811111113,0.15287418300653594,0.014421982000386257,0.12653594771241827,0.18129493464052285,CHN,Male,30-49,Medium
CHN_Male_30-49_Medium,gemma3,0.1552287576666667,0.1536936274509804,0.020330527377108207,0.11519607843137264,0.1920138888888889,CHN,Male,30-49,Medium
CHN_Male_30-49_Medium,qwen,0.526143791,0.5261495098039216,0.018127523118220922,0.4909926470588235,0.558843954248366,CHN,Male,30-49,Medium
CHN_Male_50-64_Higher,bielik,0.12074074077777776,0.12958,0.038036061137888044,0.06814814814814812,0.21333333333333335,CHN,Male,50-64,Higher
CHN_Male_50-64_Higher,gemma3,0.1740740741111111,0.17457037037037038,0.04106386523950687,0.10000000000000003,0.2593518518518518,CHN,Male,50-64,Higher
CHN_Male_50-64_Higher,qwen,0.4925925925555556,0.4949851851851852,0.042117152893729325,0.4074074074074074,0.5740740740740741,CHN,Male,50-64,Higher
CHN_Male_50-64_Lower,bielik,0.17220472477777782,0.17186220472440944,0.013443886883042854,0.14725940507436566,0.19801399825021868,CHN,Male,50-64,Lower
CHN_Male_50-64_Lower,gemma3,0.19553805811111113,0.19583202099737532,0.013930710853743805,0.17016622922134733,0.22442038495188094,CHN,Male,50-64,Lower
CHN_Male_50-64_Lower,qwen,0.5306211725555555,0.5304116360454944,0.012095343929138316,0.5052384076990376,0.5538057742782152,CHN,Male,50-64,Lower
CHN_Male_50-64_Medium,bielik,0.17480748088888895,0.17525082508250825,0.018913004575865654,0.1407040704070407,0.2144114411441144,CHN,Male,50-64,Medium
CHN_Male_50-64_Medium,gemma3,0.1581408142222223,0.1577964796479648,0.017283419936695108,0.12511001100110006,0.19224422442244224,CHN,Male,50-64,Medium
CHN_Male_50-64_Medium,qwen,0.5214521455555556,0.5221518151815181,0.02027073300831997,0.4818481848184819,0.55995599559956,CHN,Male,50-64,Medium
CHN_Male_65+_Higher,bielik,0.13148148122222222,0.13760851851851852,0.04983081117393675,0.07518518518518519,0.26111111111111107,CHN,Male,65+,Higher
CHN_Male_65+_Higher,gemma3,0.08259259233333334,0.08462592592592592,0.05703431166364357,0.008518518518518517,0.21222222222222223,CHN,Male,65+,Higher
CHN_Male_65+_Higher,qwen,0.6111111112222223,0.6109814814814815,0.03565070773474282,0.537037037037037,0.6666666666666666,CHN,Male,65+,Higher
CHN_Male_65+_Lower,bielik,0.12502732277777776,0.12467610200364299,0.017285839637242593,0.09401639344262293,0.16332422586520945,CHN,Male,65+,Lower
CHN_Male_65+_Lower,gemma3,0.1394717672222222,0.140495810564663,0.017296047192650044,0.10823497267759567,0.1768123861566484,CHN,Male,65+,Lower
CHN_Male_65+_Lower,qwen,0.5829143898888889,0.5839116575591985,0.02002382792899538,0.5437295081967213,0.6211657559198542,CHN,Male,65+,Lower
CHN_Male_65+_Medium,bielik,0.15708994744444446,0.15529714285714288,0.0405611645761879,0.09359788359788362,0.24716931216931198,CHN,Male,65+,Medium
CHN_Male_65+_Medium,gemma3,0.1693121696666667,0.16992592592592595,0.040336989487802316,0.10582010582010581,0.2592592592592593,CHN,Male,65+,Medium
CHN_Male_65+_Medium,qwen,0.637248677,0.6367883597883598,0.04006404539588586,0.5525925925925926,0.7113227513227512,CHN,Male,65+,Medium
SVK_Female_18-29_Higher,bielik,0.17757575733333333,0.18171717171717172,0.046541576768933925,0.09676767676767678,0.2785858585858586,SVK,Female,18-29,Higher
SVK_Female_18-29_Higher,gemma3,0.222222222,0.22090909090909092,0.04899628056803854,0.13131313131313133,0.32323232323232326,SVK,Female,18-29,Higher
SVK_Female_18-29_Higher,qwen,0.3629292926666667,0.36193939393939395,0.05654015273513045,0.25181818181818183,0.47404040404040404,SVK,Female,18-29,Higher
SVK_Female_18-29_Medium,bielik,0.204074074,0.20384888888888889,0.045183085033847784,0.12537037037037038,0.29666666666666663,SVK,Female,18-29,Medium
SVK_Female_18-29_Medium,gemma3,0.24407407377777782,0.24467185185185186,0.03373625311967938,0.17925925925925928,0.30888888888888894,SVK,Female,18-29,Medium
SVK_Female_18-29_Medium,qwen,0.27777777733333336,0.2780416666666667,0.029102393271272196,0.21759259259259262,0.3333333333333333,SVK,Female,18-29,Medium
SVK_Female_30-49_Higher,bielik,0.33407407377777776,0.33476719576719577,0.03253609183662279,0.2731613756613756,0.4002116402116402,SVK,Female,30-49,Higher
SVK_Female_30-49_Higher,gemma3,0.35185185155555554,0.3526058201058201,0.03305734372691269,0.28835978835978837,0.41798941798941797,SVK,Female,30-49,Higher
SVK_Female_30-49_Higher,qwen,0.35185185155555554,0.35184920634920636,0.032354461832880294,0.28835978835978837,0.41798941798941797,SVK,Female,30-49,Higher
SVK_Female_30-49_Lower,bielik,0.27769647722222224,0.2795,0.042347330985734434,0.19639566395663957,0.35900406504065036,SVK,Female,30-49,Lower
