persona_id,country,sex,age_group,education,n_respondents,mean_response,std_response,pmf_1,pmf_2,pmf_3,pmf_4,pmf_5,pmf_6,pmf_7,pmf_8,pmf_9,pmf_10
CHN_Male_65+_Medium,CHN,Male,65+,Medium,21,2.0952380952380953,2.3001035173392066,0.7142857142857143,0.09523809523809523,0,0,0.14285714285714285,0,0,0,0,0.047619047619047616
SVK_Female_18-29_Higher,SVK,Female,18-29,Higher,11,7.454545454545454,2.1148823307047775,0,0,0.09090909090909091,0,0,0.18181818181818182,0.2727272727272727,0.18181818181818182,0,0.2727272727272727
SVK_Female_18-29_Medium,SVK,Female,18-29,Medium,24,5.5,2.8284271247461903,0.125,0.041666666666666664,0.125,0.125,0.041666666666666664,0.041666666666666664,0.25,0.125,0.041666666666666664,0.08333333333333333
SVK_Female_30-49_Higher,SVK,Female,30-49,Higher,42,4.976190476190476,3.103798579381481,0.19047619047619047,0.09523809523809523,0.09523809523809523,0.023809523809523808,0.23809523809523808,0.047619047619047616,0.07142857142857142,0.047619047619047616,0.047619047619047616,0.14285714285714285
SVK_Female_30-49_Lower,SVK,Female,30-49,Lower,41,5.609756097560975,2.90583936910222,0.0975609756097561,0.14634146341463414,0.0975609756097561,0,0.04878048780487805,0.0975609756097561,0.21951219512195122,0.17073170731707318,0.024390243902439025,0.0975609756097561
SVK_Female_30-49_Medium,SVK,Female,30-49,Medium,94,6.159574468085107,3.017166624605183,0.14893617021276595,0.02127659574468085,0.031914893617021274,0.06382978723404255,0.13829787234042554,0.09574468085106383,0.0851063829787234,0.1595744680851064,0.07446808510638298,0.18085106382978725
SVK_Female_50-64_Higher,SVK,Female,50-64,Higher,40,6.75,2.9504454248686254,0.1,0.05,0.05,0,0.075,0.075,0.15,0.2,0.075,0.225
SVK_Female_50-64_Lower,SVK,Female,50-64,Lower,61,6.967213114754099,2.898086800602276,0.06557377049180328,0.03278688524590164,0.08196721311475409,0.04918032786885246,0.04918032786885246,0.09836065573770492,0.08196721311475409,0.14754098360655737,0.13114754098360656,0.26229508196721313
SVK_Female_50-64_Medium,SVK,Female,50-64,Medium,88,6.931818181818182,2.7783872546276043,0.09090909090909091,0.03409090909090909,0.022727272727272728,0.03409090909090909,0.056818181818181816,0.06818181818181818,0.2159090909090909,0.14772727272727273,0.11363636363636363,0.2159090909090909
SVK_Female_65+_Higher,SVK,Female,65+,Higher,16,6.6875,3.3410327744576227,0.125,0.0625,0,0.125,0.0625,0,0.0625,0.125,0.1875,0.25
SVK_Female_65+_Lower,SVK,Female,65+,Lower,93,8.43010752688172,2.2621548473810735,0.010752688172043012,0.021505376344086023,0.03225806451612903,0.021505376344086023,0.021505376344086023,0.07526881720430108,0.07526881720430108,0.0967741935483871,0.11827956989247312,0.5268817204301075
SVK_Female_65+_Medium,SVK,Female,65+,Medium,64,8.046875,2.6751631755601406,0.046875,0,0.03125,0.078125,0.046875,0.046875,0.03125,0.09375,0.140625,0.484375
SVK_Male_18-29_Higher,SVK,Male,18-29,Higher,10,5.5,3.3747427885527643,0.3,0,0,0,0,0.3,0.1,0.1,0.1,0.1
SVK_Male_18-29_Lower,SVK,Male,18-29,Lower,19,5.578947368421052,2.892822333402378,0.05263157894736842,0.15789473684210525,0.10526315789473684,0.05263157894736842,0.15789473684210525,0,0.15789473684210525,0.15789473684210525,0.05263157894736842,0.10526315789473684
SVK_Male_18-29_Medium,SVK,Male,18-29,Medium,26,4.576923076923077,2.830873743890065,0.23076923076923078,0.11538461538461539,0.038461538461538464,0,0.23076923076923078,0.11538461538461539,0.15384615384615385,0.038461538461538464,0,0.07692307692307693
SVK_Male_30-49_Higher,SVK,Male,30-49,Higher,41,6.097560975609756,3.3823429604992783,0.17073170731707318,0.024390243902439025,0.07317073170731707,0.0975609756097561,0.07317073170731707,0.024390243902439025,0.17073170731707318,0.024390243902439025,0.04878048780487805,0.2926829268292683
SVK_Male_30-49_Lower,SVK,Male,30-49,Lower,41,4.829268292682927,2.957215235862874,0.1951219512195122,0.0975609756097561,0.12195121951219512,0.04878048780487805,0.0975609756097561,0.0975609756097561,0.12195121951219512,0.07317073170731707,0.0975609756097561,0.04878048780487805
SVK_Male_30-49_Medium,SVK,Male,30-49,Medium,83,4.9879518072289155,3.0782239728319682,0.18072289156626506,0.13253012048192772,0.08433734939759036,0.04819277108433735,0.12048192771084337,0.060240963855421686,0.10843373493975904,0.13253012048192772,0.012048192771084338,0.12048192771084337
SVK_Male_50-64_Higher,SVK,Male,50-64,Higher,22,5.318181818181818,3.1378846929612227,0.18181818181818182,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.22727272727272727,0.045454545454545456,0.045454545454545456,0.13636363636363635
SVK_Male_50-64_Lower,SVK,Male,50-64,Lower,64,6.421875,2.706867735318432,0.03125,0.078125,0.0625,0.109375,0.078125,0.09375,0.171875,0.09375,0.109375,0.171875
SVK_Male_50-64_Medium,SVK,Male,50-64,Medium,62,5.951612903225806,2.730684291557456,0.11290322580645161,0.04838709677419355,0.06451612903225806,0.04838709677419355,0.0967741935483871,0.12903225806451613,0.12903225806451613,0.20967741935483872,0.0967741935483871,0.06451612903225806
SVK_Male_65+_Higher,SVK,Male,65+,Higher,17,6.117647058823529,3.620814013125648,0.11764705882352941,0.17647058823529413,0.058823529411764705,0.058823529411764705,0,0.058823529411764705,0,0.11764705882352941,0.17647058823529413,0.23529411764705882
SVK_Male_65+_Lower,SVK,Male,65+,Lower,58,6.431034482758621,3.206966479212104,0.1206896551724138,0.10344827586206896,0.034482758620689655,0.017241379310344827,0.034482758620689655,0.08620689655172414,0.13793103448275862,0.13793103448275862,0.10344827586206896,0.22413793103448276
SVK_Male_65+_Medium,SVK,Male,65+,Medium,43,7.209302325581396,2.8498800270060136,0.09302325581395349,0.046511627906976744,0.023255813953488372,0,0.046511627906976744,0.046511627906976744,0.11627906976744186,0.23255813953488372,0.18604651162790697,0.20930232558139536
USA_Female_18-29_Higher,USA,Female,18-29,Higher,193,5.823834196891192,3.5590336664652127,0.22279792746113988,0.046632124352331605,0.07253886010362694,0.03626943005181347,0.08808290155440414,0.07253886010362694,0.05181347150259067,0.06735751295336788,0.05181347150259067,0.29015544041450775
USA_Female_18-29_Medium,USA,Female,18-29,Medium,178,6.679775280898877,3.2700897472188344,0.1348314606741573,0.016853932584269662,0.07303370786516854,0.016853932584269662,0.14606741573033707,0.056179775280898875,0.05056179775280899,0.10674157303370786,0.03932584269662921,0.3595505617977528
USA_Female_30-49_Higher,USA,Female,30-49,Higher,246,6.780487804878049,3.4677207367396146,0.15040650406504066,0.04878048780487805,0.044715447154471545,0.04878048780487805,0.06910569105691057,0.02032520325203252,0.07317073170731707,0.07723577235772358,0.06910569105691057,0.3983739837398374
USA_Female_30-49_Lower,USA,Female,30-49,Lower,13,6.384615384615385,3.617975067595628,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0,0,0.15384615384615385,0,0.38461538461538464
USA_Female_30-49_Medium,USA,Female,30-49,Medium,241,7.473029045643154,2.9707425340004647,0.08298755186721991,0.016597510373443983,0.024896265560165973,0.03734439834024896,0.11618257261410789,0.058091286307053944,0.06224066390041494,0.0912863070539419,0.06639004149377593,0.44398340248962653
USA_Female_50-64_Higher,USA,Female,50-64,Higher,41,8.317073170731707,2.7967751463984722,0.04878048780487805,0,0.04878048780487805,0.04878048780487805,0.04878048780487805,0.04878048780487805,0.024390243902439025,0.024390243902439025,0.04878048780487805,0.6585365853658537
USA_Female_50-64_Medium,USA,Female,50-64,Medium,139,8.302158273381295,2.674773933990762,0.05755395683453238,0.007194244604316547,0.02158273381294964,0.02158273381294964,0.07913669064748201,0.014388489208633094,0.04316546762589928,0.08633093525179857,0.08633093525179857,0.5827338129496403
USA_Female_65+_Higher,USA,Female,65+,Higher,21,8.666666666666666,2.496664441476534,0.047619047619047616,0,0.047619047619047616,0,0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.6190476190476191
USA_Female_65+_Medium,USA,Female,65+,Medium,74,9.054054054054054,2.092988241213995,0.02702702702702703,0,0.02702702702702703,0,0.013513513513513514,0.04054054054054054,0.05405405405405406,0.05405405405405406,0.013513513513513514,0.7702702702702703
USA_Male_18-29_Higher,USA,Male,18-29,Higher,122,4.975409836065574,3.563968246962506,0.30327868852459017,0.08196721311475409,0.06557377049180328,0.03278688524590164,0.05737704918032787,0.09016393442622951,0.040983606557377046,0.09016393442622951,0.03278688524590164,0.20491803278688525
USA_Male_18-29_Medium,USA,Male,18-29,Medium,104,5.673076923076923,3.5483958024330406,0.23076923076923078,0.04807692307692308,0.07692307692307693,0.038461538461538464,0.09615384615384616,0.0673076923076923,0.04807692307692308,0.07692307692307693,0.04807692307692308,0.2692307692307692
USA_Male_30-49_Higher,USA,Male,30-49,Higher,338,5.5325443786982245,3.5721233625136444,0.2455621301775148,0.08284023668639054,0.04142011834319527,0.03550295857988166,0.08875739644970414,0.05621301775147929,0.08284023668639054,0.07100591715976332,0.03254437869822485,0.26331360946745563
USA_Male_30-49_Medium,USA,Male,30-49,Medium,190,6.484210526315789,3.534750113960332,0.17894736842105263,0.04736842105263158,0.05789473684210526,0.015789473684210527,0.07894736842105263,0.05789473684210526,0.06842105263157895,0.07368421052631578,0.04736842105263158,0.3736842105263158
USA_Male_50-64_Higher,USA,Male,50-64,Higher,186,6.483870967741935,3.5916205879972267,0.17204301075268819,0.06989247311827956,0.05913978494623656,0.021505376344086023,0.04838709677419355,0.06989247311827956,0.04838709677419355,0.07526881720430108,0.04838709677419355,0.3870967741935484
USA_Male_50-64_Medium,USA,Male,50-64,Medium,160,7.2875,3.129063395945991,0.10625,0.03125,0.01875,0.04375,0.0875,0.0375,0.075,0.1125,0.075,0.4125
USA_Male_65+_Higher,USA,Male,65+,Higher,143,6.853146853146853,3.574081270618578,0.18181818181818182,0.04895104895104895,0.006993006993006993,0.027972027972027972,0.06993006993006994,0.04895104895104895,0.06293706293706294,0.055944055944055944,0.055944055944055944,0.4405594405594406
USA_Male_65+_Medium,USA,Male,65+,Medium,88,7.579545454545454,3.279057864794209,0.125,0,0.03409090909090909,0.06818181818181818,0.045454545454545456,0.03409090909090909,0.011363636363636364,0.10227272727272728,0.045454545454545456,0.5340909090909091
